Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","231","États-Unis d'Amérique","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","63960","","Donnée officielle"
"TP","Cultures et produits animaux","238","Éthiopie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","113","","Donnée officielle"
"TP","Cultures et produits animaux","238","Éthiopie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","161","","Donnée officielle"
"TP","Cultures et produits animaux","185","Fédération de Russie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","242342","","Donnée officielle"
"TP","Cultures et produits animaux","185","Fédération de Russie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","216866","","Donnée officielle"
"TP","Cultures et produits animaux","66","Fidji","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","983","","Donnée officielle"
"TP","Cultures et produits animaux","66","Fidji","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","4126","","Donnée officielle"
"TP","Cultures et produits animaux","67","Finlande","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","4247","","Donnée officielle"
"TP","Cultures et produits animaux","67","Finlande","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","5155","","Donnée officielle"
"TP","Cultures et produits animaux","68","France","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","347871","","Donnée officielle"
"TP","Cultures et produits animaux","68","France","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","383588","","Donnée officielle"
"TP","Cultures et produits animaux","74","Gabon","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","68656","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","74","Gabon","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","64961","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","75","Gambie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","12547","","Donnée officielle"
"TP","Cultures et produits animaux","75","Gambie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","20834","","Donnée officielle"
"TP","Cultures et produits animaux","73","Géorgie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","40310","","Donnée officielle"
"TP","Cultures et produits animaux","73","Géorgie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","48529","","Donnée officielle"
"TP","Cultures et produits animaux","81","Ghana","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","115335","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","81","Ghana","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","201813","","Donnée officielle"
"TP","Cultures et produits animaux","84","Grèce","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","45871","","Donnée officielle"
"TP","Cultures et produits animaux","84","Grèce","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","55728","","Donnée officielle"
"TP","Cultures et produits animaux","86","Grenade","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","6443","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","86","Grenade","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","6101","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","89","Guatemala","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","107163","","Donnée officielle"
"TP","Cultures et produits animaux","89","Guatemala","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","125660","","Donnée officielle"
"TP","Cultures et produits animaux","90","Guinée","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","15678","","Donnée officielle"
"TP","Cultures et produits animaux","90","Guinée","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","37328","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","61","Guinée équatoriale","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","21032","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","61","Guinée équatoriale","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","19966","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","175","Guinée-Bissau","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","2561","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","175","Guinée-Bissau","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","3502","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","91","Guyana","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","531","","Donnée officielle"
"TP","Cultures et produits animaux","91","Guyana","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","108","*","Chiffre non officiel"
"TP","Cultures et produits animaux","93","Haïti","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","80498","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","93","Haïti","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","94812","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","95","Honduras","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","11672","","Donnée officielle"
"TP","Cultures et produits animaux","95","Honduras","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","11325","","Donnée officielle"
